driver_id,risk_score,annual_premium,monthly_premium,pricing_tier,behavioral_factor,traditional_factor
driver_0,14.41,1059.94,88.33,Preferred Plus,0.815,0.929
driver_1,31.33,1071.91,89.33,Preferred,0.951,0.855
driver_2,49.78,1279.56,106.63,Preferred,1.098,1.045
driver_3,48.51,1206.28,100.52,Preferred,1.088,0.95
driver_4,61.19,1152.37,96.03,Standard,1.19,0.807
driver_5,42.42,1114.49,92.87,Preferred,1.039,0.855
driver_6,31.17,1163.63,96.97,Preferred,0.949,0.983
driver_7,29.29,1371.87,114.32,Standard,0.934,1.282
driver_8,6.85,1559.3,129.94,Standard,0.755,1.662
driver_9,19.83,1096.15,91.35,Preferred,0.859,0.95
driver_10,27.83,1024.27,85.36,Preferred,0.923,0.807
driver_11,8.52,1292.12,107.68,Preferred,0.768,1.282
driver_12,9.4,1295.5,107.96,Preferred,0.775,1.282
driver_13,16.92,1016.57,84.71,Preferred Plus,0.835,0.855
driver_14,25.17,1048.25,87.35,Preferred,0.901,0.855
driver_15,27.83,1643.29,136.94,Non-Standard,0.923,1.667
driver_16,41.93,1112.61,92.72,Preferred,1.035,0.855
driver_17,45.5,1434.12,119.51,Standard,1.064,1.282
driver_18,5.83,939.79,78.32,Preferred Plus,0.747,0.807
driver_19,10.83,1439.5,119.96,Standard,0.787,1.475
driver_20,11.83,1065.43,88.79,Preferred Plus,0.795,0.95
driver_21,24.45,1045.49,87.12,Preferred Plus,0.896,0.855
driver_22,42.95,1256.75,104.73,Preferred,1.044,1.05
driver_23,16.23,979.72,81.64,Preferred Plus,0.83,0.807
driver_24,42.91,1082.17,90.18,Preferred,1.043,0.807
driver_25,40.67,1160.78,96.73,Preferred,1.025,0.929
driver_26,40.67,1176.17,98.01,Preferred,1.025,0.95
driver_27,27.83,1229.47,102.46,Preferred,0.923,1.092
driver_28,13.45,1311.05,109.25,Preferred,0.808,1.282
driver_29,18.83,989.71,82.48,Preferred Plus,0.851,0.807
driver_30,33.17,1147.37,95.61,Preferred,0.965,0.95
driver_31,26.83,1123.03,93.59,Preferred,0.915,0.95
driver_32,27.83,1058.47,88.21,Preferred,0.923,0.855
driver_33,35.33,1395.07,116.26,Standard,0.983,1.282
driver_34,62.67,1284.59,107.05,Standard,1.201,0.983
driver_35,10.83,993.19,82.77,Preferred Plus,0.787,0.855
driver_36,5.83,1144.99,95.42,Preferred,0.747,1.092
driver_37,40.67,1176.17,98.01,Preferred,1.025,0.95
driver_38,27.06,1363.31,113.61,Standard,0.916,1.282
driver_39,27.83,1058.47,88.21,Preferred,0.923,0.855
driver_40,35.33,1395.07,116.26,Standard,0.983,1.282
driver_41,27.84,1639.91,136.66,Non-Standard,0.923,1.662
driver_42,5.83,973.99,81.17,Preferred Plus,0.747,0.855
driver_43,47.56,1202.63,100.22,Preferred,1.08,0.95
driver_44,45.7,1434.89,119.57,Standard,1.066,1.282
driver_45,13.83,1004.71,83.73,Preferred Plus,0.811,0.855
driver_46,8.52,1052.72,87.73,Preferred Plus,0.768,0.95
driver_47,5.83,1420.3,118.36,Standard,0.747,1.475
driver_48,28.94,1028.53,85.71,Preferred,0.932,0.807
driver_49,41.71,1111.77,92.65,Preferred,1.034,0.855
driver_50,19.83,1096.15,91.35,Preferred,0.859,0.95
driver_51,42.75,1081.56,90.13,Preferred,1.042,0.807
driver_52,19.25,1025.52,85.46,Preferred Plus,0.854,0.855
driver_53,13.92,1073.45,89.45,Preferred Plus,0.811,0.95
driver_54,14.73,1076.56,89.71,Preferred Plus,0.818,0.95
driver_55,13.83,970.51,80.88,Preferred Plus,0.811,0.807
driver_56,5.83,939.79,78.32,Preferred Plus,0.747,0.807
driver_57,39.19,1170.49,97.54,Preferred,1.014,0.95
driver_58,40.67,1244.57,103.71,Preferred,1.025,1.045
driver_59,47.25,1225.38,102.12,Preferred,1.078,0.983
driver_60,5.83,1336.51,111.38,Standard,0.747,1.359
